username,repo_name,stars,repo_url
bitwarden,server,https://www.github.com/bitwarden/server,16700
abpframework,abp,https://www.github.com/abpframework/abp,13600
dotnet,AspNetCore.Docs,https://www.github.com/dotnet/AspNetCore.Docs,12900
aspnetboilerplate,aspnetboilerplate,https://www.github.com/aspnetboilerplate/aspnetboilerplate,11900
nopSolutions,nopCommerce,https://www.github.com/nopSolutions/nopCommerce,9700
ElectronNET,Electron.NET,https://www.github.com/ElectronNET/Electron.NET,7500
thangchung,clean-code-dotnet,https://www.github.com/thangchung/clean-code-dotnet,7400
RicoSuter,NSwag,https://www.github.com/RicoSuter/NSwag,7100
FastEndpoints,FastEndpoints,https://www.github.com/FastEndpoints/FastEndpoints,5400
dotnet,aspnet-api-versioning,https://www.github.com/dotnet/aspnet-api-versioning,3100
milanm,DotNet-Developer-Roadmap,https://www.github.com/milanm/DotNet-Developer-Roadmap,3100
mjebrahimi,Awesome-Microservices-DotNet,https://www.github.com/mjebrahimi/Awesome-Microservices-DotNet,2900
loic-sharma,BaGet,https://www.github.com/loic-sharma/BaGet,2700
smartstore,SmartStoreNET,https://www.github.com/smartstore/SmartStoreNET,2700
serenity-is,Serenity,https://www.github.com/serenity-is/Serenity,2600
JimBobSquarePants,ImageProcessor,https://www.github.com/JimBobSquarePants/ImageProcessor,2500
TrilonIO,aspnetcore-angular-universal,https://www.github.com/TrilonIO/aspnetcore-angular-universal,1500
smartstore,Smartstore,https://www.github.com/smartstore/Smartstore,1400
MarimerLLC,csla,https://www.github.com/MarimerLLC/csla,1300
TrilonIO,aspnetcore-Vue-starter,https://www.github.com/TrilonIO/aspnetcore-Vue-starter,1200
