username,repo_name,stars,repo_url
ovity,octotree,https://www.github.com/ovity/octotree,23000
gitpod-io,gitpod,https://www.github.com/gitpod-io/gitpod,13300
reviewdog,reviewdog,https://www.github.com/reviewdog/reviewdog,8500
qodo-ai,pr-agent,https://www.github.com/qodo-ai/pr-agent,8200
danger,danger,https://www.github.com/danger/danger,5600
danger,danger-js,https://www.github.com/danger/danger-js,5400
joho,awesome-code-review,https://www.github.com/joho/awesome-code-review,4600
ajinabraham,nodejsscan,https://www.github.com/ajinabraham/nodejsscan,2500
microsoft,vscode-pull-request-github,https://www.github.com/microsoft/vscode-pull-request-github,2400
crev-dev,cargo-crev,https://www.github.com/crev-dev/cargo-crev,2200
mattzcarey,shippie,https://www.github.com/mattzcarey/shippie,2200
mbj,mutant,https://www.github.com/mbj/mutant,2000
houndci,hound,https://www.github.com/houndci/hound,2000
coderabbitai,ai-pr-reviewer,https://www.github.com/coderabbitai/ai-pr-reviewer,1800
Tencent,CodeAnalysis,https://www.github.com/Tencent/CodeAnalysis,1800
reviewboard,reviewboard,https://www.github.com/reviewboard/reviewboard,1600
ryanmcdermott,code-review-tips,https://www.github.com/ryanmcdermott/code-review-tips,1500
bit4woo,python_sec,https://www.github.com/bit4woo/python_sec,1300
code-review-checklists,java-concurrency,https://www.github.com/code-review-checklists/java-concurrency,1300
jiangsir404,Audit-Learning,https://www.github.com/jiangsir404/Audit-Learning,978
